title,genre_names,vote_average,vote_count,popularity
Love & Human Remains,"Comedy, Drama",7.0,7.0,0.354014
Mad Love,"Drama, Family, Romance",5.5,27.0,2.624771
Mallrats,"Romance, Comedy",6.8,400.0,8.25547
Mighty Morphin Power Rangers: The Movie,"Action, Adventure, Science Fiction, Family, Fantasy",5.2,153.0,7.024227
Moonlight and Valentino,"Comedy, Drama, Romance",5.6,10.0,1.01115
Mute Witness,"Thriller, Foreign",6.4,36.0,2.466066
Nadja,"Horror, Thriller",5.9,12.0,7.720056
The Net,"Crime, Drama, Mystery, Thriller, Action",5.6,359.0,13.304342
Nine Months,Comedy,5.5,171.0,8.482834
Party Girl,Comedy,5.8,14.0,1.165039
The Prophecy,"Fantasy, Horror, Thriller",6.4,139.0,10.187623
Reckless,"Fantasy, Comedy, Drama",10.0,1.0,0.119713
Safe,Drama,7.2,62.0,8.180047
The Scarlet Letter,"Drama, History, Romance",5.5,111.0,6.752119
The Show,Documentary,5.3,2.0,0.159596
Showgirls,Drama,4.9,261.0,17.502375
Smoke,"Comedy, Drama",7.2,115.0,5.552946
Something to Talk About,Comedy,5.7,60.0,3.743212
Species,"Science Fiction, Horror, Action",5.5,457.0,13.492845
The Stars Fell on Henrietta,Drama,6.6,6.0,0.913522
Strange Days,"Crime, Drama, Science Fiction, Thriller",6.8,334.0,11.223055
The Umbrellas of Cherbourg,"Drama, Romance",7.6,119.0,8.133881
The Tie That Binds,Thriller,4.6,9.0,1.820419
Three Wishes,"Drama, Fantasy",6.1,18.0,11.002046
Total Eclipse,"Drama, Romance",6.5,112.0,4.546552
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,6.3,117.0,7.653446
Under Siege 2: Dark Territory,"Action, Thriller",5.6,217.0,7.490247
Unstrung Heroes,"Comedy, Drama, Family",6.4,9.0,2.881689
Unzipped,Documentary,6.0,6.0,0.786023
A Walk in the Clouds,"Drama, Romance",6.5,168.0,9.715639
Waterworld,"Adventure, Action",5.9,1017.0,16.885184
White Man's Burden,Drama,5.1,25.0,1.834099
Wild Bill,"Action, Western",5.9,27.0,8.922139
The Browning Version,Drama,6.0,11.0,3.727644
Bushwhacked,"Adventure, Action, Comedy, Crime, Family",4.9,29.0,3.287036
Burnt by the Sun,Drama,6.7,35.0,2.486073
Before the Rain,"Drama, War",7.7,45.0,3.525649
Before Sunrise,"Drama, Romance",7.7,984.0,11.304979
Billy Madison,Comedy,6.2,464.0,6.638116
The Babysitter,"Drama, Thriller",4.7,27.0,2.761837
Boys on the Side,"Comedy, Drama",6.3,48.0,3.030309
The Cure,"Drama, Family",7.2,58.0,2.686342
Castle Freak,"Thriller, Drama, Horror, Mystery",5.8,40.0,2.26977
Circle of Friends,"Drama, Family, Romance",6.5,30.0,2.605521
Clerks,Comedy,7.4,769.0,10.513367
Don Juan DeMarco,"Romance, Drama, Comedy",6.3,184.0,7.438934
Disclosure,"Drama, Thriller, Crime, Mystery, Romance",5.9,217.0,11.812244
Dream Man,Thriller,2.5,1.0,0.155859
Drop Zone,"Action, Adventure, Thriller",5.1,91.0,9.579155
Destiny Turns on the Radio,"Crime, Comedy, Fantasy",5.3,9.0,0.710671
Death and the Maiden,"Drama, Thriller, Mystery",7.1,92.0,5.484156
Dolores Claiborne,"Crime, Drama, Mystery",7.1,183.0,5.8025
Dumb and Dumber,Comedy,6.5,1894.0,9.844558
Eat Drink Man Woman,"Comedy, Drama, Romance",7.5,76.0,4.860016
Exotica,"Drama, Mystery",6.5,64.0,5.378467
Exit to Eden,"Thriller, Comedy, Crime, Romance",4.3,28.0,4.322726
Ed Wood,"Comedy, Drama, History",7.3,639.0,11.720358
French Kiss,"Comedy, Romance",6.2,179.0,9.146544
Forget Paris,"Comedy, Drama, Romance",6.1,38.0,16.236745
Far from Home: The Adventures of Yellow Dog,"Action, Adventure, Drama, Family",5.6,27.0,2.657337
A Goofy Movie,"Romance, Animation, Family, Comedy, Adventure",6.7,404.0,10.177977
Hideaway,"Drama, Thriller",5.0,24.0,8.182165
Fluke,"Drama, Family, Fantasy",6.6,48.0,4.953936
Farinelli,"History, Drama",5.9,20.0,8.935058
Gordy,"Drama, Family, Fantasy",3.0,4.0,0.398924
Gumby: The Movie,"Fantasy, Animation, Science Fiction, Family",5.0,2.0,0.090452
The Glass Shield,"Drama, Action, Thriller, Crime",5.4,9.0,1.012197
Hoop Dreams,Documentary,7.7,91.0,9.47666
Heavenly Creatures,"Drama, Fantasy",6.9,299.0,9.438042
Houseguest,"Comedy, Family",6.0,17.0,2.688562
Immortal Beloved,"Drama, Music, Romance",6.9,90.0,7.983666
Heavyweights,"Comedy, Family, Drama",6.0,97.0,9.546707
The Hunted,"Action, Thriller",6.0,25.0,2.756986
I.Q.,"Comedy, Drama, Romance",5.9,112.0,5.146352
Interview with the Vampire,"Horror, Romance",7.2,1558.0,11.970205
Jefferson in Paris,"Drama, Romance",5.2,10.0,1.596058
The Jerky Boys,"Comedy, Crime",4.8,10.0,0.748846
Junior,"Comedy, Family, Romance",4.7,381.0,6.710215
Just Cause,"Action, Drama, Mystery, Thriller",6.0,124.0,9.195256
A Kid in King Arthur's Court,"Adventure, Fantasy, Comedy, Science Fiction, Family",4.3,40.0,5.874511
Kiss of Death,"Action, Crime, Drama, Thriller",5.7,83.0,7.797512
Star Wars,"Adventure, Action, Science Fiction",8.1,6778.0,42.149697
Little Women,"Drama, Romance",7.0,222.0,9.774994
A Little Princess,"Drama, Family, Fantasy",7.4,207.0,7.731725
Ladybird Ladybird,Drama,7.4,14.0,0.84508
L'Enfer,"Crime, Drama",6.6,22.0,1.948315
Like Water for Chocolate,"Drama, Romance",6.6,70.0,4.126083
Legends of the Fall,"Adventure, Drama, Romance, War",7.2,636.0,12.199047
Major Payne,"Adventure, Comedy, Family",6.1,164.0,9.253362
Little Odessa,"Action, Drama",6.4,31.0,1.861292
Mi Vida Loca,"Crime, Drama",5.7,9.0,1.788829
Love Affair,"Drama, Romance",4.3,11.0,3.290192
Losing Isaiah,Drama,6.4,28.0,7.698526
The Madness of King George,"Comedy, Drama, History",6.7,67.0,4.81307
Mary Shelley's Frankenstein,"Drama, Horror, Science Fiction, Romance",6.1,272.0,14.287753
Man of the House,"Action, Comedy, Family",5.1,40.0,2.558118
Mixed Nuts,"Comedy, Drama, Romance",5.2,37.0,2.899608
Milk Money,"Comedy, Romance",5.6,49.0,3.770115
Miracle on 34th Street,"Fantasy, Drama, Family",6.4,199.0,5.831622
Miami Rhapsody,"Comedy, Romance",5.6,7.0,1.137266
My Family,"Comedy, Drama",7.0,11.0,3.121288
Murder in the First,"Crime, Drama",6.9,140.0,9.518564
Nobody's Fool,"Drama, Comedy",7.0,56.0,2.891269
Nell,"Drama, Thriller",6.1,128.0,5.930957
New Jersey Drive,"Crime, Drama",6.9,7.0,0.629955
New York Cop,"Action, Thriller, Crime, Drama",0.0,0.0,0.004537
Beyond Bedlam,Horror,4.0,4.0,0.426952
Nemesis 2 - Nebula,"Science Fiction, Action, Thriller",4.6,10.0,1.466491
Nina Takes a Lover,"Drama, Romance",7.4,4.0,0.769522
Natural Born Killers,"Crime, Thriller, Drama",6.9,927.0,11.226856
Only You,"Comedy, Drama, Romance",6.4,92.0,4.936761
Once Were Warriors,Drama,7.6,106.0,4.025276
Poison Ivy II: Lily,"Drama, Romance, Thriller",4.6,32.0,6.448039
Outbreak,"Action, Drama, Science Fiction, Thriller",6.4,522.0,13.676444
Leon: The Professional,"Thriller, Crime, Drama",8.2,4293.0,20.477329
The Perez Family,"Comedy, Drama, Romance",6.6,9.0,1.433544
A Pyromaniac's Love Story,"Comedy, Drama, Romance",7.0,2.0,0.463307
Pulp Fiction,"Thriller, Crime",8.3,8670.0,140.950236
Panther,Drama,6.4,6.0,7.160149
Pushing Hands,"Comedy, Drama",6.1,9.0,1.638622
Priest,"Drama, Romance",6.4,32.0,1.881932
Quiz Show,"History, Drama",7.1,262.0,7.772505
Picture Bride,"Drama, History",7.4,5.0,1.296912
Queen Margot,"Drama, History",7.0,67.0,4.405405
The Quick and the Dead,"Action, Western",6.2,431.0,7.54701
Roommates,"Drama, Comedy",6.4,7.0,3.395867
Prêt-à-Porter,"Drama, Comedy",5.3,33.0,6.259433
Three Colors: Red,"Drama, Mystery, Romance",7.8,246.0,7.832755
Three Colors: Blue,"Drama, Music, Mystery",7.7,311.0,8.843517
Three Colors: White,"Comedy, Drama, Mystery",7.3,218.0,6.5898
"Red Firecracker, Green Firecracker",Drama,7.0,2.0,0.078257
Rent-a-Kid,"Comedy, Family, TV Movie",5.1,15.0,1.155255
Relative Fear,"Horror, Drama",4.7,3.0,0.499601
Stuart Saves His Family,"Comedy, Drama",5.0,6.0,1.390885
The Swan Princess,Animation,6.5,251.0,8.910462
The Secret of Roan Inish,"Drama, Family, Fantasy",6.1,15.0,1.750481
The Specialist,"Action, Thriller",5.5,317.0,10.388183
Stargate,"Action, Adventure, Science Fiction",6.8,942.0,13.328924
The Santa Clause,"Fantasy, Drama, Comedy, Family",6.3,501.0,9.665424
The Shawshank Redemption,"Drama, Crime",8.5,8358.0,51.645403
Shallow Grave,"Crime, Thriller",7.0,247.0,8.223026
Suture,"Drama, Thriller",6.0,7.0,1.298224
Strawberry and Chocolate,"Comedy, Drama",7.1,16.0,1.777197
Swimming with Sharks,"Crime, Comedy",6.7,104.0,5.869261
The Sum of Us,"Comedy, Drama, Romance",6.0,21.0,1.407427
Senior Trip,Comedy,5.7,23.0,5.05806
To Live,"Drama, Romance, War",7.7,62.0,5.260627
Tank Girl,"Action, Comedy, Fantasy, Science Fiction",5.5,140.0,7.602087
Tales from the Crypt: Demon Knight,"Horror, Comedy, Thriller",6.7,96.0,9.455342
Star Trek: Generations,"Science Fiction, Action, Adventure, Thriller",6.4,461.0,8.105708
Tales from the Hood,"Crime, Horror, Thriller",5.4,33.0,2.86007
Tom & Viv,"Drama, Romance",5.8,8.0,0.704204
Village of the Damned,"Thriller, Horror, Science Fiction",5.6,165.0,6.529879
Tommy Boy,Comedy,6.8,321.0,11.971318
Vanya on 42nd Street,"Drama, Romance",6.1,15.0,7.039846
The Underneath,"Thriller, Crime",5.6,15.0,2.059771
The Walking Dead,"Drama, War",6.6,4.0,0.620873
What's Eating Gilbert Grape,"Romance, Drama",7.5,943.0,10.3919
Virtuosity,"Action, Crime, Science Fiction, Thriller",5.4,163.0,5.188399
While You Were Sleeping,"Comedy, Drama, Romance",6.5,340.0,15.783615
The War,Drama,6.3,39.0,3.908596
Double Happiness,"Comedy, Romance",5.5,2.0,0.372239
Muriel's Wedding,"Drama, Comedy, Romance",6.9,104.0,5.254847
The Baby-Sitters Club,"Comedy, Drama, Family",5.3,23.0,2.15805
Ace Ventura: Pet Detective,"Comedy, Mystery",6.4,1684.0,11.247957
"The Adventures of Priscilla, Queen of the Desert","Drama, Comedy",7.2,174.0,8.328596
Backbeat,"Drama, Music",6.2,37.0,2.487951
Bitter Moon,"Thriller, Drama, Romance",7.0,115.0,11.298195
Bullets Over Broadway,"Action, Comedy, Thriller",7.0,130.0,5.72288
Clear and Present Danger,"Action, Drama, Thriller",6.4,390.0,7.513245
The Client,"Drama, Thriller, Crime, Mystery",6.4,287.0,15.263829
"Corrina, Corrina","Comedy, Drama, Family, Romance",6.4,83.0,6.924689
Crooklyn,"Comedy, Drama",6.7,31.0,2.533022
The Crow,"Fantasy, Action, Thriller",7.3,980.0,15.799336
Cobb,Drama,6.1,29.0,2.583363
The Flintstones,"Fantasy, Comedy, Family",5.0,559.0,15.019586
Forrest Gump,"Comedy, Drama, Romance",8.2,8147.0,48.307194
Four Weddings and a Funeral,"Comedy, Drama, Romance",6.6,654.0,8.990345
Higher Learning,"Romance, Drama, Crime",6.4,49.0,7.817811
I Like It Like That,"Comedy, Drama, Romance",6.3,4.0,0.289295
I Love Trouble,"Action, Comedy, Romance",5.3,41.0,3.570874
It Could Happen to You,"Comedy, Drama, Romance",6.1,154.0,11.272073
The Jungle Book,"Adventure, Drama, Family",5.9,107.0,10.714235
"The Wonderful, Horrible Life of Leni Riefenstahl","Documentary, Foreign",7.3,5.0,0.568884
The Lion King,"Family, Animation, Drama",8.0,5520.0,21.605761
Little Buddha,"Drama, History",6.0,76.0,5.681522
New Nightmare,"Horror, Thriller, Mystery, Fantasy",6.4,297.0,9.860522
The Mask,"Romance, Comedy, Crime, Fantasy",6.6,2550.0,14.13488
Maverick,"Action, Adventure, Comedy, Drama, Western",6.6,490.0,15.050326
Mrs. Parker and the Vicious Circle,Drama,6.3,20.0,4.739054
The Naked Gun 33⅓: The Final Insult,"Comedy, Crime",6.4,535.0,10.587232
The Paper,"Comedy, Drama",6.1,40.0,4.006063
Reality Bites,Drama,6.5,180.0,6.514592
Red Rock West,"Crime, Drama, Thriller",6.4,71.0,5.137903
Ri¢hie Ri¢h,"Comedy, Family",5.4,426.0,6.595255
Safe Passage,Drama,4.9,7.0,4.931565
The River Wild,"Action, Adventure, Crime, Thriller",6.1,214.0,10.511241
Speed,"Action, Adventure, Crime",6.8,1814.0,10.859292
Speechless,"Comedy, Romance",5.5,24.0,2.334226
Timecop,"Thriller, Science Fiction, Action, Crime",5.5,288.0,8.907074
True Lies,"Action, Thriller",6.8,1138.0,11.396099
When a Man Loves a Woman,"Drama, Romance",6.0,71.0,4.322544
Wolf,Fantasy,6.0,221.0,14.063845
Wyatt Earp,"Drama, Action, Western",6.5,203.0,9.277147
Bad Company,"Action, Crime, Romance, Thriller",4.9,12.0,0.912415
A Man of No Importance,"Comedy, Drama",6.5,2.0,0.406113
S.F.W.,"Comedy, Drama",6.1,22.0,2.504529
A Low Down Dirty Shame,"Action, Comedy, Crime",6.0,31.0,3.021526
"Boys Life: Three Stories of Love, Lust, and Liberation",Drama,2.0,1.0,0.054148
Colonel Chabert,Drama,5.9,9.0,0.934312
"Faster, Pussycat! Kill! Kill!","Action, Crime",6.5,59.0,4.220541
Jason's Lyric,"Crime, Drama, Romance",5.9,9.0,0.912909
The Secret Adventures of Tom Thumb,"Animation, Science Fiction",7.1,8.0,0.381704
Street Fighter,"Action, Adventure, Thriller",4.1,330.0,13.58449
Coldblooded,"Action, Comedy",6.7,13.0,2.342756
Desert Winds,,0.0,0.0,0.251223
Fall Time,"Action, Adventure, Crime, Drama, Thriller",6.3,6.0,1.108494
The Fear,"Horror, Thriller",3.4,7.0,0.268043
Frank and Ollie,Documentary,7.5,4.0,0.142357
Girl in the Cadillac,"Romance, Adventure, Crime, Drama",10.0,1.0,0.405392
Homage,"Thriller, Drama",0.0,0.0,0.014925
Mirage,"Action, Thriller",4.0,1.0,0.302957
Open Season,Comedy,0.0,0.0,0.012456
Dos Crímenes,,5.0,1.0,0.233376
Brother Minister: The Assassination of Malcolm X,Documentary,4.0,1.0,0.0368
Highlander: The Final Dimension,"Action, Fantasy, Science Fiction",4.5,110.0,6.866634
Federal Hill,,5.0,2.0,0.100685
In the Mouth of Madness,"Horror, Mystery, Thriller",7.1,307.0,8.497643
8 Seconds,"Drama, Romance",7.2,22.0,1.888534
Above the Rim,"Crime, Drama",6.7,40.0,4.38154
Addams Family Values,"Comedy, Family, Fantasy",6.5,537.0,17.555909
Martin Lawrence: You So Crazy,Comedy,4.5,4.0,0.394194
The Age of Innocence,"Drama, Romance",7.0,172.0,8.013617
Airheads,"Comedy, Crime, Music",5.8,222.0,7.09232
The Air Up There,"Comedy, Family",5.1,42.0,1.896273
Another Stakeout,"Action, Comedy",4.9,58.0,12.967239
Bad Girls,"Action, Adventure, Comedy, Drama, Western",4.6,61.0,14.644772
Barcelona,"Comedy, Drama, Romance",6.6,20.0,1.632711
Being Human,"Drama, Comedy, Fantasy",5.0,15.0,2.783872
The Beverly Hillbillies,Comedy,5.0,86.0,5.673735
Beverly Hills Cop III,"Action, Comedy, Crime",5.5,445.0,11.787784
Black Beauty,"Action, Adventure, Drama, Family",6.6,68.0,8.398845
Blink,"Mystery, Crime, Drama, Thriller",6.3,45.0,3.00282
Blown Away,"Drama, Action, Thriller",6.0,126.0,13.155071
Blue Chips,Drama,5.7,41.0,6.131056
Blue Sky,"Drama, Romance",6.1,28.0,4.993829
Body Snatchers,"Horror, Science Fiction, Thriller",5.8,102.0,6.559693
Boxing Helena,"Drama, Romance",4.5,59.0,4.304224
A Bronx Tale,"Drama, Crime",7.4,447.0,6.115628
Cabin Boy,Comedy,4.9,28.0,1.679042
Calendar Girl,"Drama, Comedy",3.7,10.0,1.316741
